Results	Entity	Line	Column	CheckID	Check Name
      Fixed Value(0) used incorrectly	PieceIndex	6545	22	RECOMMENDED_08	Magic Numbers
      Fixed Value(0) used incorrectly	int_data	6579	49	RECOMMENDED_08	Magic Numbers
      Fixed Value(2) used incorrectly	int_data	6593	62	RECOMMENDED_08	Magic Numbers
      Fixed Value(2) used incorrectly	int_data	6621	74	RECOMMENDED_08	Magic Numbers
      Fixed Value(1) used incorrectly	int_data	6635	74	RECOMMENDED_08	Magic Numbers
      Fixed Value(1) used incorrectly	int_data	6649	74	RECOMMENDED_08	Magic Numbers
      Fixed Value(1) used incorrectly	int_data	6690	19	RECOMMENDED_08	Magic Numbers
      Fixed Value(2) used incorrectly	int_data	6691	19	RECOMMENDED_08	Magic Numbers
      Fixed Value(3) used incorrectly	int_data	6692	19	RECOMMENDED_08	Magic Numbers
      Fixed Value(0) used incorrectly	int_data	6696	21	RECOMMENDED_08	Magic Numbers
      Fixed Value(0) used incorrectly	int_data	6704	23	RECOMMENDED_08	Magic Numbers
      Fixed Value(0) used incorrectly	int_data	6707	23	RECOMMENDED_08	Magic Numbers
      Fixed Value(0) used incorrectly	int_data	6713	21	RECOMMENDED_08	Magic Numbers
      Fixed Value(0) used incorrectly	int_data	6716	21	RECOMMENDED_08	Magic Numbers
      Fixed Value(32) used incorrectly	SmallVector	6747	23	RECOMMENDED_08	Magic Numbers
      Fixed Value(1) used incorrectly	resize	6753	18	RECOMMENDED_08	Magic Numbers
      Fixed Value(0) used incorrectly	NumTokens	6769	17	RECOMMENDED_08	Magic Numbers
      Fixed Value(32) used incorrectly	SmallVector	6786	23	RECOMMENDED_08	Magic Numbers
      Fixed Value(0) used incorrectly		6828	62	RECOMMENDED_08	Magic Numbers
      Fixed Value(8) used incorrectly	SmallVector	6837	32	RECOMMENDED_08	Magic Numbers
      Fixed Value(1) used incorrectly	int_data	6851	68	RECOMMENDED_08	Magic Numbers
      Fixed Value(3) used incorrectly	int_data	6854	33	RECOMMENDED_08	Magic Numbers
      Fixed Value(3) used incorrectly	int_data	6857	68	RECOMMENDED_08	Magic Numbers
      Fixed Value(1) used incorrectly	int_data	7357	68	RECOMMENDED_08	Magic Numbers
      Fixed Value(3) used incorrectly	int_data	7363	26	RECOMMENDED_08	Magic Numbers
      Fixed Value(1) used incorrectly	getLocation	7426	72	RECOMMENDED_08	Magic Numbers
